transform,video_id,spread,w2_barycenter,w2_mean,gap_pct,bary_wins
Linear normalize,video_33,1.3039684210526317,0.9328,0.9421999999999999,0.9976650392697903,True
Linear normalize,video_34,1.5654105263157894,1.5666,1.5774000000000001,0.6846709775580159,True
Linear normalize,video_35,1.4649368421052629,1.0124,1.0074,-0.4963271788763047,False
Linear normalize,video_36,2.202573684210526,2.352,2.372,0.8431703204047225,True
Linear normalize,video_37,1.4428789473684214,1.1218,1.0942,-2.5223907877901524,False
Linear normalize,video_38,1.6109684210526314,1.1066,1.1156000000000001,0.8067407673001181,True
Linear normalize,video_39,1.266115789473684,1.1362,1.1434,0.6297008920762527,True
Linear normalize,video_40,1.400894736842105,0.5692,0.5624,-1.209103840682793,False
Linear normalize,video_41,1.3683894736842104,0.8648,0.8654,0.06933210076264548,True
Linear normalize,video_42,1.4107052631578947,0.6656,0.6632,-0.3618817852834677,False
Linear normalize,video_43,1.385857894736842,0.5204,0.5016,-3.7480063795853122,False
Linear normalize,video_44,1.2290789473684212,0.563,0.5404,-4.182087342709096,False
Linear normalize,video_45,1.6986421052631577,0.8022,0.8058,0.4467609828741545,True
Linear normalize,video_46,1.272278947368421,0.6062000000000001,0.6068,0.09887936717203921,True
Linear normalize,video_47,1.2968842105263156,0.5646000000000001,0.5548,-1.766402307137733,False
Linear normalize,video_48,1.4247894736842108,0.8754000000000002,0.8816,0.7032667876587877,True
Linear normalize,video_49,1.1999526315789473,0.472,0.4704,-0.34013605442176664,False
Linear normalize,video_50,1.2744157894736843,0.6866000000000001,0.6844,-0.3214494447691541,False
Softmax tau=0.5,video_01,65.34797894736843,22.7674,24.6868,7.77500526597211,True
Softmax tau=0.5,video_02,58.693726315789476,33.267399999999995,40.422399999999996,17.700581855604817,True
Softmax tau=0.5,video_03,53.4296947368421,32.2734,39.5308,18.35884930231616,True
Softmax tau=0.5,video_04,67.43947894736843,42.0732,49.757999999999996,15.444350657180747,True
Softmax tau=0.5,video_05,76.88322631578947,36.2226,46.097,21.420916762479123,True
Softmax tau=0.5,video_06,75.47814736842105,50.764799999999994,63.3818,19.90634535466018,True
Softmax tau=0.5,video_07,67.89732631578947,42.0062,53.2654,21.1379244312443,True
Softmax tau=0.5,video_08,75.46386842105264,27.812400000000004,33.483,16.935758444583797,True
Softmax tau=0.5,video_09,81.61557368421053,25.388,25.8832,1.9132101131235588,True
Softmax tau=0.5,video_10,62.90666842105263,35.459,41.4248,14.401517931287525,True
Softmax tau=0.5,video_11,47.954757894736844,19.454,24.174199999999995,19.525775413457303,True
Softmax tau=0.5,video_12,78.53756315789474,37.0698,47.6394,22.186677414073223,True
Softmax tau=0.5,video_13,63.64114210526315,52.066599999999994,61.153200000000005,14.858748193062686,True
Softmax tau=0.5,video_14,84.37985263157896,52.009800000000006,64.938,19.908528134528314,True
